Класснейм (Key),Описание на русском
STR_BRDK_Art_Brain_1,"Редкий органический артефакт, формирующийся в пси-активных аномалиях. Усиливает нейронную активность, повышая пси-устойчивость и восприятие, но при длительном воздействии вызывает серьёзную психическую нагрузку."
STR_BRDK_Art_BlackEnergy_1,"Редкий артефакт, формирующийся в нестабильных энергетических аномалиях. Излучает плотное поле неизвестной природы, значительно повышая защиту от энергии и радиации, но медленно истощает жизненные силы носителя."
STR_BRDK_Art_Plesen_1,"Распространённый органический артефакт, формирующийся во влажных химических аномалиях. Медленно поглощает токсины, слегка повышая химическую устойчивость, но выделяет споры, ослабляющие носителя со временем."
STR_BRDK_Art_BlueSpiral_1,"Редкий артефакт, формирующийся в электрических аномалиях. Создаёт стабильный энергетический вихрь, повышая устойчивость к электрическому урону и радиации, но может нарушать работу электроники поблизости."
STR_BRDK_Art_Brak_1,"Артефакт, образовавшийся в результате неудачной реакции аномалии. Не обладает полезными свойствами и считается бесполезным, но всё ещё классифицируется как артефакт."
STR_BRDK_Art_JilStone_1,"Распространённый артефакт, формирующийся в минеральных аномалиях. Обладает плотной слоистой структурой с выраженными жилами, слегка повышает физическую устойчивость, но увеличивает нагрузку на носителя."
STR_BRDK_Art_VihrevoyUzel_1,"Артефакт с нестабильной внутренней структурой, напоминающей закрученный поток. В его центре непрерывно циркулирует энергия, вызывая лёгкое искажение воздуха вокруг. По наблюдениям сталкеров, способен влиять на пространство в малом радиусе и нарушать устойчивость траектории движущихся объектов."
STR_BRDK_Art_VedminStuden_1,"Плотная желеобразная субстанция, образующаяся в аномальных зонах. При контакте медленно растворяет органику, оставляя неорганические материалы нетронутыми. Несмотря на опасность, некоторые сталкеры используют её для контролируемого химического разложения и утилизации отходов."
STR_BRDK_Art_SpekshiysaPesok_1,"Застывшая прочная масса, сформированная аномальным перегревом. Зёрна спеклись в острые шершавые структуры, удерживающие тепло в течение длительного времени. При контакте обжигает, используется как компактный и стабильный источник тепла"
STR_BRDK_Art_OskolokRezonansa_1,"Прозрачный осколок, излучающий ровное белое свечение. Его внутренняя структура усиливает вибрации, вызывая резонанс окружающих объектов и лёгкое искажение звука и движения."
STR_BRDK_Art_Skladka_1,"Редкий артефакт, формирующийся в пространственных аномалиях. Искажает локальное пространство, снижая входящий физический урон, но со временем вызывает дезориентацию у носителя."
STR_BRDK_Art_Gniluha_1,"Отвратительный органический артефакт, формирующийся в разлагающихся аномалиях. Представляет собой плотную смесь земли, камней и разложившейся биологической массы. Источает зловоние, слегка повышает устойчивость к токсинам, но ослабляет носителя со временем."
STR_BRDK_Art_Chertik_1,"Небольшой нестабильный артефакт с непредсказуемым поведением. Периодически выбрасывает импульсы энергии, вызывая резкие рывки или сильные толчки. Из-за своей нестабильности считается опасным."
STR_BRDK_Art_Krestovina_1,"Редкий гибридный артефакт, формирующийся в коррозионных аномалиях. Представляет собой ржавые стальные стержни, сросшиеся в центре органической массы, словно металл приобрёл свойства живой материи. Повышает физическую устойчивость, но постепенно разрушает организм носителя."
STR_BRDK_Art_WhiteRing_1,"Редкий артефакт, формирующийся в гравитационных аномалиях. Представляет собой белое светящееся кольцо, постоянно вращающееся вокруг своей оси. Стабилизирует окружающее пространство, снижая входящий урон, но может вызывать дезориентацию у носителя."
